project_id,team_id,total_commits,weekly_commits,inactive_days,overdue_tasks,bug_count,high_priority_bugs,task_completion_rate,code_quality_score,collaboration_score,overall_ci_score,progress_percentage,delay_count,risk_status
P0556,T019,229,28,25,6,34,4,56,43,38,50,45,4,High Risk
MR0492,T076,197,19,6,2,13,2,79,66,58,75,74,3,Medium Risk
P0528,T014,290,21,23,1,29,4,42,35,36,70,66,1,Medium Risk
MR0926,T082,213,13,8,2,8,1,64,78,67,53,77,2,Medium Risk
LR0990,T024,493,43,2,1,7,1,89,83,80,94,80,1,Low Risk
P0071,T025,149,24,25,5,36,7,82,39,52,94,22,2,High Risk
P1757,T059,258,25,10,3,19,7,83,47,27,32,84,2,Medium Risk
P0212,T047,496,19,12,10,7,7,55,62,71,68,18,1,High Risk
P0197,T046,117,56,23,5,24,10,93,64,37,93,76,2,High Risk
P0804,T063,475,3,21,11,26,7,42,47,65,37,59,9,High Risk
MR0410,T045,104,21,5,2,11,3,80,64,58,54,70,4,Medium Risk
MR0837,T006,170,19,5,4,5,2,69,63,50,71,63,2,Medium Risk
P1147,T076,64,20,10,3,11,10,55,41,33,64,53,4,High Risk
P1499,T065,454,4,9,9,27,4,40,41,84,26,79,9,High Risk
MR0859,T051,169,21,6,2,14,2,58,62,78,55,59,2,Medium Risk
MR0483,T049,213,22,5,2,19,4,66,56,61,75,58,1,Medium Risk
P1186,T028,21,44,1,15,26,9,95,64,50,72,83,6,High Risk
P0472,T047,175,47,5,12,0,8,95,77,75,25,65,2,High Risk
P0595,T044,172,15,17,2,11,10,49,43,66,94,89,8,High Risk
P0322,T068,435,31,10,7,5,0,95,90,45,76,93,2,Low Risk
P1418,T001,112,52,25,5,4,8,91,47,49,45,77,7,High Risk
P1675,T034,170,33,17,5,21,5,58,71,49,34,95,8,High Risk
MR0591,T033,210,12,10,3,15,4,56,63,62,65,53,1,Medium Risk
P1704,T030,171,6,25,1,25,10,92,73,40,34,98,5,High Risk
LR0541,T073,310,20,0,0,1,1,92,86,96,92,96,0,Low Risk
P0206,T022,25,26,13,15,15,6,40,35,92,44,32,6,High Risk
MR0888,T083,198,15,10,5,20,3,62,74,52,52,65,4,Medium Risk
MR0249,T081,181,16,6,4,19,4,56,55,50,55,64,1,Medium Risk
LR0132,T067,201,37,0,0,4,0,85,93,99,96,85,1,Low Risk
P1256,T069,128,5,22,2,15,7,98,82,92,47,89,4,High Risk
LR0300,T074,333,57,3,1,5,1,99,92,100,92,89,0,Low Risk
P1227,T049,302,34,18,15,3,5,51,85,41,80,29,5,High Risk
MR0919,T004,224,10,5,3,5,4,72,57,68,74,59,1,Medium Risk
LR0465,T018,207,24,0,1,7,0,98,88,86,86,99,0,Low Risk
