Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Skill_React,Skill_NodeJS,Skill_Python,Skill_MongoDB
23,84,1,0,0,7,73,1,1,0,1,2,1,2,3,0,1,2,1,67,4,3,1,1
19,64,1,2,0,8,59,1,1,2,2,2,1,0,4,0,0,1,0,61,5,2,1,4
24,98,2,2,1,7,91,2,1,2,2,2,1,1,4,0,2,2,1,74,3,2,2,1
29,89,1,2,1,8,98,2,1,1,2,2,1,0,4,0,1,1,1,71,5,5,3,2
19,92,2,2,1,6,65,2,1,3,2,0,1,1,4,0,0,2,0,70,5,2,5,4
19,88,2,2,1,8,89,2,1,3,2,2,1,2,3,0,2,2,1,71,2,2,1,4
29,84,2,1,1,7,68,1,1,1,1,2,0,1,2,0,1,1,1,67,3,1,3,5
25,78,1,0,1,6,50,2,1,1,0,0,1,0,2,0,1,0,1,66,3,5,5,4
17,94,2,0,0,6,80,0,1,0,2,1,0,1,1,0,0,2,1,69,3,5,4,4
23,98,2,2,1,8,71,2,1,0,0,0,1,2,5,0,1,1,1,72,5,2,3,1
17,80,1,0,0,8,88,2,0,4,2,0,0,1,4,0,0,1,1,68,4,2,3,4
17,97,2,0,1,6,87,1,1,2,1,0,0,1,2,0,1,2,1,71,3,2,3,3
21,83,2,2,1,8,97,1,1,2,2,2,1,2,4,0,1,2,1,70,5,3,4,5
9,82,2,2,1,8,72,2,1,2,2,2,0,2,3,0,2,2,1,66,2,4,4,5
10,78,2,0,1,8,74,2,1,1,1,2,0,1,4,0,2,2,1,65,4,3,3,4
17,68,2,2,0,8,70,2,1,2,2,2,0,2,4,0,1,2,0,64,2,5,2,1
14,60,2,1,1,10,65,1,1,0,0,2,0,2,3,0,0,2,1,60,4,1,1,5
22,70,1,2,1,6,82,2,1,1,1,0,1,1,3,0,1,2,0,65,5,4,4,5
15,80,2,2,1,9,91,1,1,3,1,2,1,2,2,0,0,1,0,67,1,1,2,3
12,75,2,0,1,7,58,2,1,3,2,2,0,2,4,0,0,2,1,66,4,5,4,4
29,78,2,2,0,5,99,0,1,0,0,2,1,0,1,0,1,1,0,69,2,5,3,5
19,99,2,0,0,6,84,2,1,1,2,0,1,1,3,0,1,2,1,72,5,1,2,5
20,74,2,0,0,8,89,1,1,1,2,2,1,0,2,0,0,1,0,66,4,1,5,5
11,78,0,2,1,8,100,0,1,1,1,2,1,1,3,0,1,1,1,66,1,1,1,5
17,65,1,0,1,5,75,2,1,2,1,2,1,2,3,0,1,2,0,63,1,5,1,1
21,62,0,1,1,6,54,0,1,0,0,0,1,2,3,0,2,0,1,64,3,2,4,2
13,91,1,2,0,6,90,2,1,1,0,2,1,0,2,1,1,1,0,65,3,1,1,3
22,83,0,0,1,6,94,2,1,0,0,2,1,1,2,0,0,1,1,71,2,4,5,1
16,90,2,2,0,4,58,2,1,1,1,2,1,1,3,0,1,1,0,66,4,5,2,3
18,66,0,0,0,4,51,1,1,2,1,2,0,1,2,0,0,2,1,64,4,3,2,5
16,83,1,2,0,6,57,2,1,0,0,1,1,2,4,1,1,2,0,63,3,3,3,3
31,70,2,0,1,7,66,2,1,1,0,2,1,0,3,0,0,2,1,69,4,4,2,4
20,69,2,2,1,8,96,2,1,2,2,0,1,2,3,0,1,2,1,67,4,2,4,4
14,60,0,2,0,5,50,2,1,2,2,2,1,1,3,0,0,2,0,61,1,1,5,2
25,65,0,2,0,5,90,2,1,2,2,2,1,2,3,0,0,1,0,68,3,5,3,2
13,72,1,2,0,6,93,1,1,1,1,2,1,0,3,0,1,2,1,61,5,1,4,3
21,65,2,1,1,7,91,1,1,2,2,0,1,2,3,0,1,0,0,64,3,5,4,1
8,99,2,2,0,9,54,1,1,2,1,2,1,1,5,0,2,2,0,67,5,3,4,1
12,72,1,2,1,8,84,2,1,1,1,2,1,2,5,0,1,2,0,63,1,1,1,5
