Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,student_id,profile_source,Skill_React,Skill_NodeJS,Skill_Python,Skill_MongoDB,Skill_HTML/CSS,Skill_Angular,Skill_Vue,Skill_Express,Skill_Java,Skill_PHP,Skill_FastAPI,Skill_MySQL,Skill_PostgreSQL,Skill_Firebase,Skill_TensorFlow,Skill_Pandas,Religion,LivingCity,Ethnicity_Group
23,84,1,0,0,7,73,1,1,0,1,2,1,2,3,0,1,2,Female,67,SIM-0001,synthetic_simulation,4,3,1,1,4,4,4,2,1,1,3,4,2,3,1,3,Other,Negombo,Group A
19,64,1,2,0,8,59,1,1,2,2,2,1,0,4,0,0,1,Male,61,SIM-0002,synthetic_simulation,5,2,1,4,3,3,3,2,5,1,4,5,1,5,2,4,Hinduism,Galle,Group A
24,98,2,2,1,7,91,2,1,2,2,2,1,1,4,0,2,2,Female,74,SIM-0003,synthetic_simulation,3,2,2,1,3,5,5,5,1,5,1,4,3,5,5,3,Other,Jaffna,Group B
29,89,1,2,1,8,98,2,1,1,2,2,1,0,4,0,1,1,Female,71,SIM-0004,synthetic_simulation,5,5,3,2,2,3,5,4,2,4,2,5,5,3,3,1,Other,Negombo,Group C
19,92,2,2,1,6,65,2,1,3,2,0,1,1,4,0,0,2,Female,70,SIM-0005,synthetic_simulation,5,2,5,4,5,5,4,5,3,1,3,1,2,2,2,2,Christianity,Negombo,Group C
19,88,2,2,1,8,89,2,1,3,2,2,1,2,3,0,2,2,Male,71,SIM-0006,synthetic_simulation,2,2,1,4,3,2,5,1,1,2,1,5,1,5,2,1,Other,Jaffna,Group B
29,84,2,1,1,7,68,1,1,1,1,2,0,1,2,0,1,1,Non-binary,67,SIM-0007,synthetic_simulation,3,1,3,5,1,3,4,3,3,5,2,5,2,4,4,5,Other,Kandy,Group D
25,78,1,0,1,6,50,2,1,1,0,0,1,0,2,0,1,0,Female,66,SIM-0008,synthetic_simulation,3,5,5,4,5,3,5,3,5,4,2,4,1,2,3,4,Buddhism,Kandy,Group C
17,94,2,0,0,6,80,0,1,0,2,1,0,1,1,0,0,2,Non-binary,69,SIM-0009,synthetic_simulation,3,5,4,4,2,3,1,3,2,5,5,2,3,2,4,5,Hinduism,Jaffna,Group C
23,98,2,2,1,8,71,2,1,0,0,0,1,2,5,0,1,1,Female,72,SIM-0010,synthetic_simulation,5,2,3,1,5,1,5,3,4,3,2,2,4,3,5,4,Buddhism,Jaffna,Group C
17,80,1,0,0,8,88,2,0,4,2,0,0,1,4,0,0,1,Non-binary,68,SIM-0011,synthetic_simulation,4,2,3,4,5,5,1,4,2,5,1,5,5,1,1,4,Other,Galle,Group C
17,97,2,0,1,6,87,1,1,2,1,0,0,1,2,0,1,2,Male,71,SIM-0012,synthetic_simulation,3,2,3,3,3,5,5,3,3,5,1,4,5,5,4,2,Hinduism,Jaffna,Group C
21,83,2,2,1,8,97,1,1,2,2,2,1,2,4,0,1,2,Female,70,SIM-0013,synthetic_simulation,5,3,4,5,1,5,5,5,2,3,4,2,2,5,5,5,Christianity,Colombo,Group A
9,82,2,2,1,8,72,2,1,2,2,2,0,2,3,0,2,2,Female,66,SIM-0014,synthetic_simulation,2,4,4,5,3,1,5,3,5,3,1,2,5,1,3,1,Buddhism,Colombo,Group B
10,78,2,0,1,8,74,2,1,1,1,2,0,1,4,0,2,2,Non-binary,65,SIM-0015,synthetic_simulation,4,3,3,4,1,5,1,2,3,3,3,4,1,5,1,1,Christianity,Kandy,Group A
17,68,2,2,0,8,70,2,1,2,2,2,0,2,4,0,1,2,Non-binary,64,SIM-0016,synthetic_simulation,2,5,2,1,1,3,5,1,3,5,3,5,3,4,5,4,Other,Colombo,Group C
14,60,2,1,1,10,65,1,1,0,0,2,0,2,3,0,0,2,Non-binary,60,SIM-0017,synthetic_simulation,4,1,1,5,4,4,5,5,5,3,2,1,3,1,4,4,Other,Colombo,Group C
22,70,1,2,1,6,82,2,1,1,1,0,1,1,3,0,1,2,Male,65,SIM-0018,synthetic_simulation,5,4,4,5,3,2,2,4,1,1,4,4,2,3,5,4,Hinduism,Galle,Group D
15,80,2,2,1,9,91,1,1,3,1,2,1,2,2,0,0,1,Female,67,SIM-0019,synthetic_simulation,1,1,2,3,2,5,1,5,4,2,2,4,1,1,5,5,Christianity,Kandy,Group D
12,75,2,0,1,7,58,2,1,3,2,2,0,2,4,0,0,2,Male,66,SIM-0020,synthetic_simulation,4,5,4,4,5,1,3,2,2,2,4,4,5,2,1,5,Other,Galle,Group B
29,78,2,2,0,5,99,0,1,0,0,2,1,0,1,0,1,1,Male,69,SIM-0021,synthetic_simulation,2,5,3,5,4,1,4,3,4,3,5,5,1,3,2,3,Christianity,Negombo,Group A
19,99,2,0,0,6,84,2,1,1,2,0,1,1,3,0,1,2,Non-binary,72,SIM-0022,synthetic_simulation,5,1,2,5,2,5,2,3,4,4,4,5,5,2,5,1,Christianity,Colombo,Group D
20,74,2,0,0,8,89,1,1,1,2,2,1,0,2,0,0,1,Non-binary,66,SIM-0023,synthetic_simulation,4,1,5,5,3,4,5,4,5,5,5,4,1,3,1,4,Hinduism,Colombo,Group B
11,78,0,2,1,8,100,0,1,1,1,2,1,1,3,0,1,1,Female,66,SIM-0024,synthetic_simulation,1,1,1,5,1,5,3,1,1,2,5,2,5,1,1,5,Hinduism,Galle,Group A
17,65,1,0,1,5,75,2,1,2,1,2,1,2,3,0,1,2,Female,63,SIM-0025,synthetic_simulation,1,5,1,1,3,1,3,3,4,1,2,1,5,2,3,3,Other,Negombo,Group A
21,62,0,1,1,6,54,0,1,0,0,0,1,2,3,0,2,0,Female,64,SIM-0026,synthetic_simulation,3,2,4,2,3,2,5,4,3,4,3,3,3,3,3,4,Other,Colombo,Group C
13,91,1,2,0,6,90,2,1,1,0,2,1,0,2,1,1,1,Non-binary,65,SIM-0027,synthetic_simulation,3,1,1,3,4,4,5,3,1,4,4,4,4,5,2,1,Christianity,Jaffna,Group D
22,83,0,0,1,6,94,2,1,0,0,2,1,1,2,0,0,1,Non-binary,71,SIM-0028,synthetic_simulation,2,4,5,1,2,5,2,5,5,1,2,4,4,2,4,5,Buddhism,Galle,Group C
16,90,2,2,0,4,58,2,1,1,1,2,1,1,3,0,1,1,Male,66,SIM-0029,synthetic_simulation,4,5,2,3,4,2,1,4,4,5,5,5,2,4,5,4,Other,Kandy,Group C
18,66,0,0,0,4,51,1,1,2,1,2,0,1,2,0,0,2,Female,64,SIM-0030,synthetic_simulation,4,3,2,5,2,5,2,4,5,5,5,5,4,3,5,2,Christianity,Negombo,Group A
16,83,1,2,0,6,57,2,1,0,0,1,1,2,4,1,1,2,Male,63,SIM-0031,synthetic_simulation,3,3,3,3,4,4,1,4,2,3,1,3,2,5,1,2,Christianity,Colombo,Group B
31,70,2,0,1,7,66,2,1,1,0,2,1,0,3,0,0,2,Female,69,SIM-0032,synthetic_simulation,4,4,2,4,5,1,3,3,5,1,1,5,3,5,1,1,Islam,Colombo,Group A
20,69,2,2,1,8,96,2,1,2,2,0,1,2,3,0,1,2,Female,67,SIM-0033,synthetic_simulation,4,2,4,4,1,4,4,4,3,1,4,5,2,1,1,3,Islam,Kandy,Group A
14,60,0,2,0,5,50,2,1,2,2,2,1,1,3,0,0,2,Female,61,SIM-0034,synthetic_simulation,1,1,5,2,1,3,5,5,5,1,3,2,4,1,3,3,Buddhism,Colombo,Group B
25,65,0,2,0,5,90,2,1,2,2,2,1,2,3,0,0,1,Male,68,SIM-0035,synthetic_simulation,3,5,3,2,1,5,2,1,1,3,1,1,5,2,1,2,Hinduism,Jaffna,Group A
13,72,1,2,0,6,93,1,1,1,1,2,1,0,3,0,1,2,Male,61,SIM-0036,synthetic_simulation,5,1,4,3,5,2,3,1,2,2,5,2,2,2,2,1,Buddhism,Jaffna,Group B
21,65,2,1,1,7,91,1,1,2,2,0,1,2,3,0,1,0,Male,64,SIM-0037,synthetic_simulation,3,5,4,1,5,2,2,2,3,5,2,4,4,4,1,2,Buddhism,Negombo,Group C
8,99,2,2,0,9,54,1,1,2,1,2,1,1,5,0,2,2,Non-binary,67,SIM-0038,synthetic_simulation,5,3,4,1,1,4,1,5,2,3,3,2,4,5,4,4,Other,Jaffna,Group B
12,72,1,2,1,8,84,2,1,1,1,2,1,2,5,0,1,2,Non-binary,63,SIM-0039,synthetic_simulation,1,1,1,5,1,4,5,5,3,3,4,3,5,3,1,5,Christianity,Negombo,Group D
21,65,1,2,1,6,98,1,1,1,2,0,1,0,4,0,1,2,Male,64,SIM-0040,synthetic_simulation,2,4,4,1,2,4,1,4,2,3,2,2,1,4,5,3,Buddhism,Negombo,Group C
24,68,0,2,0,8,56,1,1,3,0,0,1,1,1,0,0,2,Non-binary,67,SIM-0041,synthetic_simulation,4,2,1,2,2,2,1,2,4,1,4,5,4,4,5,5,Hinduism,Galle,Group D
21,84,2,2,1,6,52,1,1,1,2,0,1,1,2,1,0,0,Non-binary,65,SIM-0042,synthetic_simulation,1,4,2,1,3,1,1,5,5,3,2,3,3,4,1,1,Christianity,Colombo,Group A
19,63,1,0,0,7,94,2,1,1,2,2,0,2,3,0,1,1,Male,64,SIM-0043,synthetic_simulation,4,2,1,5,4,2,3,5,1,2,2,3,5,3,5,1,Other,Colombo,Group D
