run,seed,method,technical_deficit,skill_redundancy_total,skill_redundancy_avg,academic_imbalance,diversity,technical_feasibility,runtime_ms,pareto_front_size
1,42,Random,6.75,2.0958546978119736,0.6986182326039913,1.0854779350152564,0.5833333333333334,84.89583333333333,0.032800016924738884,
1,42,Greedy,6.25,2.016174643484666,0.6720582144948887,0.09087256453090553,0.5,86.1111111111111,0.44410000555217266,
1,42,NSGA-II,6.25,1.9629302804699431,0.654310093489981,0.04959720250998443,0.5694444444444445,86.1111111111111,501.53180002234876,79.0
2,43,Random,8.5,1.8045476619881735,0.6015158873293912,1.891089304916224,0.5555555555555555,80.55555555555556,0.02759997732937336,
2,43,Greedy,7.5,1.7971617156330635,0.5990539052110212,0.6438330169969251,0.5277777777777778,84.375,0.4384999629110098,
2,43,NSGA-II,7.5,1.7652955492315952,0.5884318497438651,0.2674368346350901,0.6111111111111112,84.375,474.891799967736,62.0
3,44,Random,5.0,2.083025358359742,0.694341786119914,1.27090621765112,0.5972222222222222,88.71527777777777,0.05529983900487423,
3,44,Greedy,5.5,2.023599189105537,0.674533063035179,1.1049925960241025,0.611111111111111,87.6736111111111,0.42450008913874626,
3,44,NSGA-II,5.0,2.0208294485440237,0.6736098161813412,0.6023397476906717,0.625,88.71527777777777,476.55649995431304,79.0
4,45,Random,6.5,1.926809047459244,0.6422696824864147,2.539047618979465,0.5694444444444444,86.28472222222221,0.03300001844763756,
4,45,Greedy,6.5,1.9434636007791422,0.647821200259714,0.3282490563805267,0.5833333333333334,85.9375,0.3674998879432678,
4,45,NSGA-II,5.75,1.9130180925436617,0.6376726975145539,0.16766156367116813,0.611111111111111,88.02083333333333,448.80770007148385,42.0
5,46,Random,8.25,2.0887618199596516,0.6962539399865505,3.4539133682976377,0.5833333333333334,81.4236111111111,0.025799963623285294,
5,46,Greedy,6.75,2.019279047505793,0.6730930158352644,1.237510296677,0.5277777777777778,85.41666666666667,0.42889988981187344,
5,46,NSGA-II,6.75,2.0301451803037787,0.6767150601012596,0.22812876419953276,0.6111111111111112,85.41666666666667,512.6382000744343,86.0
6,47,Random,5.5,1.9313827562998207,0.6437942520999402,0.09763985128746654,0.5416666666666666,87.84722222222221,0.02269982360303402,
6,47,Greedy,5.75,1.974558185243646,0.6581860617478821,0.4470480168440392,0.5972222222222223,87.32638888888887,0.313399825245142,
6,47,NSGA-II,4.5,1.8666414602314805,0.6222138200771602,0.6121837537510953,0.6388888888888888,90.625,463.0458999890834,61.0
7,48,Random,6.75,2.0191687114438777,0.6730562371479593,1.3518523918115128,0.5694444444444445,84.89583333333333,0.024799956008791924,
7,48,Greedy,6.75,1.9976905265736995,0.6658968421912332,0.7604488864201105,0.5833333333333334,84.89583333333333,0.40929997339844704,
7,48,NSGA-II,6.75,1.9085384976235198,0.6361794992078399,0.03885172119185477,0.638888888888889,84.89583333333333,427.4989999830723,41.0
8,49,Random,6.75,2.0844091850934117,0.6948030616978039,0.4951073156577574,0.5972222222222222,84.89583333333333,0.02340017817914486,
8,49,Greedy,6.0,2.1057588335361492,0.7019196111787164,0.1434702291614182,0.5972222222222222,86.97916666666667,0.3380000125616789,
8,49,NSGA-II,6.25,1.9723838017455195,0.6574612672485066,0.3144537163922602,0.6111111111111112,86.28472222222221,465.3382000979036,74.0
9,50,Random,6.5,2.0552194347248447,0.6850731449082815,0.4473066453649355,0.513888888888889,85.41666666666667,0.043899985030293465,
9,50,Greedy,5.75,1.9396935579882784,0.6465645193294262,0.6559651119486162,0.5416666666666666,87.5,0.37020002491772175,
9,50,NSGA-II,5.25,1.8903946285942421,0.6301315428647474,1.4710815411686375,0.5972222222222222,88.88888888888887,495.2191000338644,62.0
10,51,Random,8.5,2.1721991784783192,0.7240663928261064,0.6931093837249338,0.5555555555555555,82.11805555555556,0.023900065571069717,
10,51,Greedy,8.5,2.1780392411880123,0.7260130803960041,8.456234536156343,0.5833333333333334,82.11805555555556,0.3626001998782158,
10,51,NSGA-II,8.5,2.1271121066619596,0.7090373688873198,0.8085830920083229,0.6388888888888888,82.11805555555556,471.9554998446256,69.0
11,52,Random,5.75,2.0228050550256236,0.6742683516752078,1.4309035273771666,0.5694444444444443,87.67361111111113,0.026799971237778664,
11,52,Greedy,5.5,1.9795210628692415,0.6598403542897472,1.7006977750627101,0.5277777777777778,88.36805555555554,0.3962998744100332,
11,52,NSGA-II,5.75,1.909367206472592,0.636455735490864,0.4478979189063668,0.6111111111111112,87.67361111111113,458.06189998984337,67.0
12,53,Random,11.75,1.9533626437046543,0.6511208812348849,0.718120171241632,0.5972222222222222,74.13194444444444,0.02319994382560253,
12,53,Greedy,11.75,1.9508852178678104,0.6502950726226034,0.10073495121165858,0.625,74.13194444444444,0.3075001295655966,
12,53,NSGA-II,11.75,1.9240503951745995,0.6413501317248665,0.010813126413874366,0.6527777777777778,74.13194444444444,452.1495997905731,38.0
13,54,Random,6.0,1.8052697877713928,0.6017565959237976,3.0098838003978017,0.5972222222222222,87.5,0.021900050342082977,
13,54,Greedy,5.75,1.735316422912185,0.578438807637395,1.663375177042326,0.625,88.02083333333333,0.35930005833506584,
13,54,NSGA-II,5.75,1.7031684707866397,0.5677228235955466,0.10589209415047662,0.6388888888888888,88.02083333333333,485.41469988413155,56.0
14,55,Random,6.25,2.0088849921817657,0.6696283307272552,0.05753232431076564,0.5694444444444444,85.9375,0.02640020102262497,
14,55,Greedy,5.25,1.9192047041582532,0.6397349013860844,0.2134618340939293,0.5555555555555555,88.54166666666667,0.3478999715298414,
14,55,NSGA-II,4.5,1.8717805648464316,0.6239268549488105,0.1670119022110157,0.625,90.27777777777777,473.47750002518296,67.0
15,56,Random,8.0,1.991181995352791,0.6637273317842637,0.037554746277843755,0.5277777777777777,83.15972222222221,0.025999965146183968,
15,56,Greedy,7.75,1.9350009380279105,0.6450003126759702,0.3424647090820751,0.5277777777777778,83.85416666666667,0.35179988481104374,
15,56,NSGA-II,7.75,1.8931545372622094,0.6310515124207364,0.046949513991421554,0.5694444444444445,83.85416666666667,488.12479991465807,57.0
16,57,Random,8.0,1.950107289973007,0.6500357633243357,0.14861681830027212,0.5555555555555557,82.9861111111111,0.02359994687139988,
16,57,Greedy,8.5,2.085212421538217,0.6950708071794057,1.669188778454756,0.611111111111111,81.59722222222221,0.3320998512208462,
16,57,NSGA-II,7.75,1.9538571807206064,0.6512857269068688,0.49042838416810103,0.6388888888888888,83.68055555555556,483.49699983373284,65.0
17,58,Random,6.75,2.074878371215733,0.6916261237385776,0.06580073383116138,0.5694444444444445,84.02777777777777,0.03769993782043457,
